Model_1,Model_2,Score
model_0,model_0,1.0
model_0,model_1,0.156
model_0,model_2,0.500
model_0,model_3,0.782
model_0,model_4,0.623
model_0,model_5,0.647
model_0,model_6,0.136
model_0,model_7,0.774
model_1,model_0,0.156
model_1,model_1,1.000
model_1,model_2,0.140
model_1,model_3,0.152
model_1,model_4,0.226
model_1,model_5,0.179
model_1,model_6,0.744
model_1,model_7,0.165
model_2,model_0,0.500
model_2,model_1,0.140
model_2,model_2,1.000
model_2,model_3,0.475
model_2,model_4,0.560
model_2,model_5,0.495
model_2,model_6,0.130
model_2,model_7,0.482
model_3,model_0,0.782
model_3,model_1,0.152
model_3,model_2,0.475
model_3,model_3,1.000
model_3,model_4,0.647
model_3,model_5,0.729
model_3,model_6,0.135
model_3,model_7,0.823
model_4,model_0,0.623
model_4,model_1,0.226
model_4,model_2,0.560
model_4,model_3,0.647
model_4,model_4,1.000
model_4,model_5,0.717
model_4,model_6,0.188
model_4,model_7,0.734
model_5,model_0,0.647
model_5,model_1,0.179
model_5,model_2,0.495
model_5,model_3,0.729
model_5,model_4,0.717
model_5,model_5,1.000
model_5,model_6,0.156
model_5,model_7,0.772
model_6,model_0,0.136
model_6,model_1,0.744
model_6,model_2,0.130
model_6,model_3,0.135
model_6,model_4,0.188
model_6,model_5,0.156
model_6,model_6,1.000
model_6,model_7,0.141
model_7,model_0,0.774
model_7,model_1,0.165
model_7,model_2,0.482
model_7,model_3,0.823
model_7,model_4,0.734
model_7,model_5,0.772
model_7,model_6,0.141
model_7,model_7,1.000
