meshId,otherId,i,j,sim
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,0,0,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,0,1,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,0,2,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,0,3,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,0,4,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,0,5,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,0,6,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,1,1,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,1,2,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,1,3,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,1,4,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,1,5,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,1,6,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,2,2,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,2,3,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,2,4,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,2,5,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,2,6,0.6
/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,/home/ubuntu/fa3ds/backend/results/study_models/component_40_model_7,3,3,0.6
